route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,short_trip_no
A,A_Saturday_1_2505-VMR_0000010,22525848,"Gilbert Rd/Main St",0,,A0022,54030
A,A_Saturday_1_2505-VMR_0000010,22525849,"Gilbert Rd/Main St",0,,A0023,54032
A,A_Saturday_1_2505-VMR_0000010,22525850,"Gilbert Rd/Main St",0,,A0022,54034
A,A_Saturday_1_2505-VMR_0000010,22525851,"Gilbert Rd/Main St",0,,A0023,54036
A,A_Saturday_1_2505-VMR_0000010,22525852,"Gilbert Rd/Main St",0,,A0022,54038
A,A_Saturday_1_2505-VMR_0000010,22525853,"Gilbert Rd/Main St",0,,A0023,54040
A,A_Saturday_1_2505-VMR_0000010,22525854,"Gilbert Rd/Main St",0,,A0023,54048
A,A_Saturday_1_2505-VMR_0000010,22525855,"Gilbert Rd/Main St",0,,A0022,54042
A,A_Saturday_1_2505-VMR_0000010,22525856,"Gilbert Rd/Main St",0,,A0023,54044
A,A_Saturday_1_2505-VMR_0000010,22525857,"Gilbert Rd/Main St",0,,A0022,54046
A,A_Saturday_1_2505-VMR_0000010,22525858,"Gilbert Rd/Main St",0,,A0022,54050
A,A_Saturday_1_2505-VMR_0000010,22525859,"Gilbert Rd/Main St",0,,A0023,54052
A,A_Saturday_1_2505-VMR_0000010,22525860,"Gilbert Rd/Main St",0,,A0022,54054
A,A_Saturday_1_2505-VMR_0000010,22525861,"Gilbert Rd/Main St",0,,A0023,54056
A,A_Saturday_1_2505-VMR_0000010,22525862,"Gilbert Rd/Main St",0,,A0022,54058
A,A_Saturday_1_2505-VMR_0000010,22525863,"Gilbert Rd/Main St",0,,A0023,54060
A,A_Saturday_1_2505-VMR_0000010,22525864,"Gilbert Rd/Main St",0,,A0022,54062
A,A_Saturday_1_2505-VMR_0000010,22525865,"Gilbert Rd/Main St",0,,A0023,54064
A,A_Saturday_1_2505-VMR_0000010,22525866,"Gilbert Rd/Main St",0,,A0022,54066
A,A_Saturday_1_2505-VMR_0000010,22525867,"Gilbert Rd/Main St",0,,A0022,54074
A,A_Saturday_1_2505-VMR_0000010,22525868,"Gilbert Rd/Main St",0,,A0023,54068
A,A_Saturday_1_2505-VMR_0000010,22525869,"Gilbert Rd/Main St",0,,A0022,54070
A,A_Saturday_1_2505-VMR_0000010,22525870,"Gilbert Rd/Main St",0,,A0023,54072
A,A_Saturday_1_2505-VMR_0000010,22525871,"Gilbert Rd/Main St",0,,A0023,54076
A,A_Saturday_1_2505-VMR_0000010,22525872,"Gilbert Rd/Main St",0,,A0022,54078
A,A_Saturday_1_2505-VMR_0000010,22525873,"Gilbert Rd/Main St",0,,A0023,54080
A,A_Saturday_1_2505-VMR_0000010,22525874,"Gilbert Rd/Main St",0,,A0022,54082
A,A_Saturday_1_2505-VMR_0000010,22525875,"Gilbert Rd/Main St",0,,A0022,54090
A,A_Saturday_1_2505-VMR_0000010,22525876,"Gilbert Rd/Main St",0,,A0023,54084
A,A_Saturday_1_2505-VMR_0000010,22525877,"Gilbert Rd/Main St",0,,A0022,54086
A,A_Saturday_1_2505-VMR_0000010,22525878,"Gilbert Rd/Main St",0,,A0023,54088
A,A_Saturday_1_2505-VMR_0000010,22525879,"Gilbert Rd/Main St",0,,A0023,54092
A,A_Saturday_1_2505-VMR_0000010,22525880,"Gilbert Rd/Main St",0,,A0022,54094
A,A_Saturday_1_2505-VMR_0000010,22525881,"Gilbert Rd/Main St",0,,A0023,54096
A,A_Saturday_1_2505-VMR_0000010,22525882,"Gilbert Rd/Main St",0,,A0022,54098
A,A_Saturday_1_2505-VMR_0000010,22525883,"Gilbert Rd/Main St",0,,A0023,54100
A,A_Saturday_1_2505-VMR_0000010,22525884,"Gilbert Rd/Main St",0,,A0022,54102
A,A_Saturday_1_2505-VMR_0000010,22525885,"Gilbert Rd/Main St",0,,A0023,54104
A,A_Saturday_1_2505-VMR_0000010,22525886,"Gilbert Rd/Main St",0,,A0022,54106
A,A_Saturday_1_2505-VMR_0000010,22525887,"Gilbert Rd/Main St",0,,A0023,54108
A,A_Saturday_1_2505-VMR_0000010,22525888,"Gilbert Rd/Main St",0,,A0022,54110
A,A_Saturday_1_2505-VMR_0000010,22525889,"Gilbert Rd/Main St",0,,A0023,54112
A,A_Saturday_1_2505-VMR_0000010,22525890,"Gilbert Rd/Main St",0,,A0022,54114
A,A_Saturday_1_2505-VMR_0000010,22525891,"Gilbert Rd/Main St",0,,A0023,54116
A,A_Saturday_1_2505-VMR_0000010,22525892,"Gilbert Rd/Main St",0,,A0022,54118
A,A_Saturday_1_2505-VMR_0000010,22525893,"Gilbert Rd/Main St",0,,A0023,54126
A,A_Saturday_1_2505-VMR_0000010,22525894,"Gilbert Rd/Main St",0,,A0023,54120
A,A_Saturday_1_2505-VMR_0000010,22525895,"Gilbert Rd/Main St",0,,A0022,54122
A,A_Saturday_1_2505-VMR_0000010,22525896,"Gilbert Rd/Main St",0,,A0022,54124
A,A_Saturday_1_2505-VMR_0000010,22525897,"Downtown Phoenix Hub",1,,A0001,54211
A,A_Saturday_1_2505-VMR_0000010,22525898,"Downtown Phoenix Hub",1,,A0002,54213
A,A_Saturday_1_2505-VMR_0000010,22525899,"Downtown Phoenix Hub",1,,A0002,54217
A,A_Saturday_1_2505-VMR_0000010,22525900,"Downtown Phoenix Hub",1,,A0001,54215
A,A_Saturday_1_2505-VMR_0000010,22525901,"Downtown Phoenix Hub",1,,A0001,54219
A,A_Saturday_1_2505-VMR_0000010,22525902,"Downtown Phoenix Hub",1,,A0002,54221
A,A_Saturday_1_2505-VMR_0000010,22525903,"Downtown Phoenix Hub",1,,A0001,54223
A,A_Saturday_1_2505-VMR_0000010,22525904,"Downtown Phoenix Hub",1,,A0001,54227
A,A_Saturday_1_2505-VMR_0000010,22525905,"Downtown Phoenix Hub",1,,A0002,54225
A,A_Saturday_1_2505-VMR_0000010,22525906,"Downtown Phoenix Hub",1,,A0002,54233
A,A_Saturday_1_2505-VMR_0000010,22525907,"Downtown Phoenix Hub",1,,A0001,54231
A,A_Saturday_1_2505-VMR_0000010,22525908,"Downtown Phoenix Hub",1,,A0002,54229
A,A_Saturday_1_2505-VMR_0000010,22525909,"Downtown Phoenix Hub",1,,A0001,54235
A,A_Saturday_1_2505-VMR_0000010,22525910,"Downtown Phoenix Hub",1,,A0001,54239
A,A_Saturday_1_2505-VMR_0000010,22525911,"Downtown Phoenix Hub",1,,A0002,54237
A,A_Saturday_1_2505-VMR_0000010,22525912,"Downtown Phoenix Hub",1,,A0001,54243
A,A_Saturday_1_2505-VMR_0000010,22525913,"Downtown Phoenix Hub",1,,A0002,54241
A,A_Saturday_1_2505-VMR_0000010,22525914,"Downtown Phoenix Hub",1,,A0002,54249
A,A_Saturday_1_2505-VMR_0000010,22525915,"Downtown Phoenix Hub",1,,A0001,54247
A,A_Saturday_1_2505-VMR_0000010,22525916,"Downtown Phoenix Hub",1,,A0002,54245
A,A_Saturday_1_2505-VMR_0000010,22525917,"Downtown Phoenix Hub",1,,A0001,54251
A,A_Saturday_1_2505-VMR_0000010,22525918,"Downtown Phoenix Hub",1,,A0001,54255
A,A_Saturday_1_2505-VMR_0000010,22525919,"Downtown Phoenix Hub",1,,A0002,54253
A,A_Saturday_1_2505-VMR_0000010,22525920,"Downtown Phoenix Hub",1,,A0001,54259
A,A_Saturday_1_2505-VMR_0000010,22525921,"Downtown Phoenix Hub",1,,A0002,54257
A,A_Saturday_1_2505-VMR_0000010,22525922,"Downtown Phoenix Hub",1,,A0001,54263
A,A_Saturday_1_2505-VMR_0000010,22525923,"Downtown Phoenix Hub",1,,A0002,54261
A,A_Saturday_1_2505-VMR_0000010,22525924,"Downtown Phoenix Hub",1,,A0001,54267
A,A_Saturday_1_2505-VMR_0000010,22525925,"Downtown Phoenix Hub",1,,A0002,54265
A,A_Saturday_1_2505-VMR_0000010,22525926,"Downtown Phoenix Hub",1,,A0001,54271
A,A_Saturday_1_2505-VMR_0000010,22525927,"Downtown Phoenix Hub",1,,A0002,54269
A,A_Saturday_1_2505-VMR_0000010,22525928,"Downtown Phoenix Hub",1,,A0001,54275
A,A_Saturday_1_2505-VMR_0000010,22525929,"Downtown Phoenix Hub",1,,A0002,54273
A,A_Saturday_1_2505-VMR_0000010,22525930,"Downtown Phoenix Hub",1,,A0001,54279
A,A_Saturday_1_2505-VMR_0000010,22525931,"Downtown Phoenix Hub",1,,A0002,54277
A,A_Saturday_1_2505-VMR_0000010,22525932,"Downtown Phoenix Hub",1,,A0002,54285
A,A_Saturday_1_2505-VMR_0000010,22525933,"Downtown Phoenix Hub",1,,A0001,54283
A,A_Saturday_1_2505-VMR_0000010,22525934,"Downtown Phoenix Hub",1,,A0002,54281
A,A_Saturday_1_2505-VMR_0000010,22525935,"Downtown Phoenix Hub",1,,A0001,54287
A,A_Saturday_1_2505-VMR_0000010,22525936,"Downtown Phoenix Hub",1,,A0002,54289
A,A_Saturday_1_2505-VMR_0000010,22525937,"Downtown Phoenix Hub",1,,A0001,54291
A,A_Saturday_1_2505-VMR_0000010,22525938,"Downtown Phoenix Hub",1,,A0001,54295
A,A_Saturday_1_2505-VMR_0000010,22525939,"Downtown Phoenix Hub",1,,A0002,54293
A,A_Saturday_1_2505-VMR_0000010,22525940,"Downtown Phoenix Hub",1,,A0001,54299
A,A_Saturday_1_2505-VMR_0000010,22525941,"Downtown Phoenix Hub",1,,A0002,54297
A,A_Saturday_1_2505-VMR_0000010,22525942,"Downtown Phoenix Hub",1,,A0001,54303
A,A_Saturday_1_2505-VMR_0000010,22525943,"Downtown Phoenix Hub",1,,A0002,54301
A,A_Saturday_1_2505-VMR_0000010,22525944,"Downtown Phoenix Hub",1,,A0001,54307
