trip_id,trip_property_id,value
77169996,note,Does not run during school vacation
77169996,trip_type,supplemental
77169997,note,Does not run during school vacation
77169997,trip_type,supplemental
77170001,note,Does not run during school vacation
77170001,trip_type,supplemental
77170025,note,Does not run during school vacation
77170025,trip_type,supplemental
77171584,note,Does not run during school vacation
77171584,trip_type,supplemental
77171649,note,Waits at Ruggles for last Orange Line train
77171649,trip_type,wait
77171719,note,Does not run during school vacation
77171719,trip_type,supplemental
77172641,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
77172641,trip_type,wait
77172645,note,Waits at South Station for last Red Line train
77172645,trip_type,wait
77172646,note,Waits at Back Bay for last Orange Line train
77172646,trip_type,wait
77172791,note,Waits at South Station for last Red Line train
77172791,trip_type,wait
77189140,note,Waits at Orient Heights for last Blue Line train
77189140,trip_type,wait
77189310,note,Waits at Orient Heights for last Blue Line train
77189310,trip_type,wait
SWKNDWCPeriod-831037-5806,note,Waits at Readville for Train 5706
SWKNDWCPeriod-831037-5806,trip_type,wait
SWKNDWCPeriod-831055-5892,note,Waits at Readville for Train 5792
SWKNDWCPeriod-831055-5892,trip_type,wait
SWKNDWCPeriod-831040-5824,note,Waits at Readville for Train 5724
SWKNDWCPeriod-831040-5824,trip_type,wait
SWKNDWCPeriod-831053-5884,note,Waits at Readville for Train 5784
SWKNDWCPeriod-831053-5884,trip_type,wait
SWKNDWCPeriod-831050-5868,note,Waits at Readville for Train 5768
SWKNDWCPeriod-831050-5868,trip_type,wait
SWKNDWCPeriod-831052-5878,note,Waits at Readville for Train 5778
SWKNDWCPeriod-831052-5878,trip_type,wait
SWKNDWCPeriod-831048-5856,note,Waits at Readville for Train 5754
SWKNDWCPeriod-831048-5856,trip_type,wait
SWKNDWCPeriod-831041-5830,note,Waits at Readville for Train 5730
SWKNDWCPeriod-831041-5830,trip_type,wait
SWKNDWCPeriod-831043-5838,note,Waits at Readville for Train 5738
SWKNDWCPeriod-831043-5838,trip_type,wait
SWKNDWCPeriod-831045-5846,note,Waits at Readville for Train 5746
SWKNDWCPeriod-831045-5846,trip_type,wait
SWKNDWCPeriod-831073-6047,note,Waits at Braintree for Train 7047
SWKNDWCPeriod-831073-6047,trip_type,wait
SWKNDWCPeriod-831085-6979,note,Waits at East Taunton for Train 7029
SWKNDWCPeriod-831085-6979,trip_type,wait
SWKNDWCPeriod-831194-5715,note,Waits at Readville for Train 5815
SWKNDWCPeriod-831194-5715,trip_type,wait
SWKNDWCPeriod-831246-5721,note,Waits at Readville for Train 5821
SWKNDWCPeriod-831246-5721,trip_type,wait
SWKNDWCPeriod-831270-5731,note,Waits at Readville for Train 5831
SWKNDWCPeriod-831270-5731,trip_type,wait
SWKNDWCPeriod-831272-5739,note,Waits at Readville for Train 5839
SWKNDWCPeriod-831272-5739,trip_type,wait
SWKNDWCPeriod-831275-5747,note,Waits at Readville for Train 5847
SWKNDWCPeriod-831275-5747,trip_type,wait
SWKNDWCPeriod-831268-5755,note,Waits at Readville for Train 5855
SWKNDWCPeriod-831268-5755,trip_type,wait
SWKNDWCPeriod-831266-5767,note,Waits at Readville for Train 5867
SWKNDWCPeriod-831266-5767,trip_type,wait
SWKNDWCPeriod-831274-5777,note,Waits at Readville for Train 5877
SWKNDWCPeriod-831274-5777,trip_type,wait
SWKNDWCPeriod-831263-5785,note,Waits at Readville for Train 5885
SWKNDWCPeriod-831263-5785,trip_type,wait
SWKNDWCPeriod-831243-5793,note,Waits at Readville for Train 5893
SWKNDWCPeriod-831243-5793,trip_type,wait
CP44-833753-5806,note,Waits at Readville for Train 5706
CP44-833753-5806,trip_type,wait
CP44-833771-5892,note,Waits at Readville for Train 5792
CP44-833771-5892,trip_type,wait
CP44-833756-5824,note,Waits at Readville for Train 5724
CP44-833756-5824,trip_type,wait
CP44-833769-5884,note,Waits at Readville for Train 5784
CP44-833769-5884,trip_type,wait
CP44-833766-5868,note,Waits at Readville for Train 5768
CP44-833766-5868,trip_type,wait
CP44-833768-5878,note,Waits at Readville for Train 5778
CP44-833768-5878,trip_type,wait
CP44-833764-5856,note,Waits at Readville for Train 5754
CP44-833764-5856,trip_type,wait
CP44-833757-5830,note,Waits at Readville for Train 5730
CP44-833757-5830,trip_type,wait
CP44-833759-5838,note,Waits at Readville for Train 5738
CP44-833759-5838,trip_type,wait
CP44-833761-5846,note,Waits at Readville for Train 5746
CP44-833761-5846,trip_type,wait
CP44-833789-6047,note,Waits at Braintree for Train 7047
CP44-833789-6047,trip_type,wait
CP44-833801-6979,note,Waits at East Taunton for Train 7029
CP44-833801-6979,trip_type,wait
CP44-833910-5715,note,Waits at Readville for Train 5815
CP44-833910-5715,trip_type,wait
CP44-833962-5721,note,Waits at Readville for Train 5821
CP44-833962-5721,trip_type,wait
CP44-833986-5731,note,Waits at Readville for Train 5831
CP44-833986-5731,trip_type,wait
CP44-833988-5739,note,Waits at Readville for Train 5839
CP44-833988-5739,trip_type,wait
CP44-833991-5747,note,Waits at Readville for Train 5847
CP44-833991-5747,trip_type,wait
CP44-833984-5755,note,Waits at Readville for Train 5855
CP44-833984-5755,trip_type,wait
CP44-833982-5767,note,Waits at Readville for Train 5867
CP44-833982-5767,trip_type,wait
CP44-833990-5777,note,Waits at Readville for Train 5877
CP44-833990-5777,trip_type,wait
CP44-833979-5785,note,Waits at Readville for Train 5885
CP44-833979-5785,trip_type,wait
CP44-833959-5793,note,Waits at Readville for Train 5893
CP44-833959-5793,trip_type,wait
PlainsINT-837275-874,note,Waits at Readville for Train 776
PlainsINT-837275-874,trip_type,wait
PlainsINT-837286-908,note,Waits at Readville for Train 1708
PlainsINT-837286-908,trip_type,wait
PlainsINT-837314-984,note,Waits at Readville for Train 784
PlainsINT-837314-984,trip_type,wait
PlainsINT-837282-892,note,Waits at Readville for Train 792
PlainsINT-837282-892,trip_type,wait
PlainsINT-837268-856,note,Waits at Readville for Train 1756
PlainsINT-837268-856,trip_type,wait
PlainsINT-837107-1047,note,Waits at Braintree for Train 2047
PlainsINT-837107-1047,trip_type,wait
PlainsINT-837189-2055,note,Waits at East Taunton for Train 1905
PlainsINT-837189-2055,trip_type,wait
PlainsINT-837190-2059,note,Waits at East Taunton for Train 1909
PlainsINT-837190-2059,trip_type,wait
PlainsINT-837191-2061,note,Waits at East Taunton for Train 1911
PlainsINT-837191-2061,trip_type,wait
PlainsINT-837193-2065,note,Waits at East Taunton for Train 1915
PlainsINT-837193-2065,trip_type,wait
PlainsINT-837194-2067,note,Waits at East Taunton for Train 1917
PlainsINT-837194-2067,trip_type,wait
PlainsINT-837195-2069,note,Waits at East Taunton for Train 1919
PlainsINT-837195-2069,trip_type,wait
PlainsINT-837196-2075,note,Waits at East Taunton for Train 1925
PlainsINT-837196-2075,trip_type,wait
PlainsINT-837198-2089,note,Waits at East Taunton for Train 1939
PlainsINT-837198-2089,trip_type,wait
PlainsINT-837160-1971,note,Waits at East Taunton for Train 2021
PlainsINT-837160-1971,trip_type,wait
PlainsINT-837166-1983,note,Waits at East Taunton for Train 2033
PlainsINT-837166-1983,trip_type,wait
PlainsINT-837168-1987,note,Waits at East Taunton for Train 2037
PlainsINT-837168-1987,trip_type,wait
PlainsINT-837170-1991,note,Waits at East Taunton for Train 2041
PlainsINT-837170-1991,trip_type,wait
PlainsINT-837173-2010,note,Waits at East Taunton for Train 1960
PlainsINT-837173-2010,trip_type,wait
PlainsINT-837174-2016,note,Waits at East Taunton for Train 1966
PlainsINT-837174-2016,trip_type,wait
PlainsINT-837176-2022,note,Waits at East Taunton for Train 1972
PlainsINT-837176-2022,trip_type,wait
PlainsINT-837177-2024,note,Waits at East Taunton for Train 1974
PlainsINT-837177-2024,trip_type,wait
PlainsINT-837178-2026,note,Waits at East Taunton for Train 1976
PlainsINT-837178-2026,trip_type,wait
PlainsINT-837179-2028,note,Waits at East Taunton for Train 1978
PlainsINT-837179-2028,trip_type,wait
PlainsINT-837181-2030,note,Waits at East Taunton for Train 1980
PlainsINT-837181-2030,trip_type,wait
PlainsINT-837183-2034,note,Waits at East Taunton for Train 1984
PlainsINT-837183-2034,trip_type,wait
PlainsINT-837185-2038,note,Waits at East Taunton for Train 1988
PlainsINT-837185-2038,trip_type,wait
PlainsINT-837187-2044,note,Waits at East Taunton for Train 1994
PlainsINT-837187-2044,trip_type,wait
PlainsINT-837148-1912,note,Waits at East Taunton for Train 2062
PlainsINT-837148-1912,trip_type,wait
PlainsINT-837154-1936,note,Waits at East Taunton for Train 2086
PlainsINT-837154-1936,trip_type,wait
PlainsINT-837156-1942,note,Waits at East Taunton for Train 2092
PlainsINT-837156-1942,trip_type,wait
PlainsINT-837495-1775,note,Waits at Readville for Train 875
PlainsINT-837495-1775,trip_type,wait
PlainsINT-837509-1785,note,Waits at Readville for Train 885
PlainsINT-837509-1785,trip_type,wait
PlainsINT-837554-793,note,Waits at Readville for Train 893
PlainsINT-837554-793,trip_type,wait
PlainsINT-837230-565,note,Waits at West Natick for Train 1561
PlainsINT-837230-565,trip_type,wait
PlainsINT-837225-553,note,Waits at West Natick for Train 1551
PlainsINT-837225-553,trip_type,wait
PlainsINT-837228-559,note,Waits at West Natick for Train 1555
PlainsINT-837228-559,trip_type,wait
PlainsINT-837232-571,note,Waits at West Natick for Train 1567
PlainsINT-837232-571,trip_type,wait
PlainsINT-837133-1512,note,Waits at West Natick for Train 510
PlainsINT-837133-1512,trip_type,wait
PlainsINT-837134-1516,note,Waits at West Natick for Train 514
PlainsINT-837134-1516,trip_type,wait
PlainsINT-837136-1522,note,Waits at West Natick for Train 518
PlainsINT-837136-1522,trip_type,wait
PlainsINT-837207-515,note,Waits at Framingham for Train 1511
PlainsINT-837207-515,trip_type,wait
PlainsINT-837209-519,note,Waits at Framingham for Train 1517
PlainsINT-837209-519,trip_type,wait
PlainsINT-837136-1522,note,Waits at Framingham for Train 520
PlainsINT-837136-1522,trip_type,wait
PlainsINT-837139-1558,note,Waits at Framingham for Train 556
PlainsINT-837139-1558,trip_type,wait
PlainsINT-837141-1562,note,Waits at Framingham for Train 560
PlainsINT-837141-1562,trip_type,wait
PlainsINT-838435-5806,note,Waits at Readville for Train 5706
PlainsINT-838435-5806,trip_type,wait
PlainsINT-838453-5892,note,Waits at Readville for Train 5792
PlainsINT-838453-5892,trip_type,wait
PlainsINT-838438-5824,note,Waits at Readville for Train 5724
PlainsINT-838438-5824,trip_type,wait
PlainsINT-838451-5884,note,Waits at Readville for Train 5784
PlainsINT-838451-5884,trip_type,wait
PlainsINT-838448-5868,note,Waits at Readville for Train 5768
PlainsINT-838448-5868,trip_type,wait
PlainsINT-838450-5878,note,Waits at Readville for Train 5778
PlainsINT-838450-5878,trip_type,wait
PlainsINT-838446-5856,note,Waits at Readville for Train 5754
PlainsINT-838446-5856,trip_type,wait
PlainsINT-838439-5830,note,Waits at Readville for Train 5730
PlainsINT-838439-5830,trip_type,wait
PlainsINT-838441-5838,note,Waits at Readville for Train 5738
PlainsINT-838441-5838,trip_type,wait
PlainsINT-838443-5846,note,Waits at Readville for Train 5746
PlainsINT-838443-5846,trip_type,wait
PlainsINT-838622-6047,note,Waits at Braintree for Train 7047
PlainsINT-838622-6047,trip_type,wait
PlainsINT-838653-6979,note,Waits at East Taunton for Train 7029
PlainsINT-838653-6979,trip_type,wait
PlainsINT-838508-5715,note,Waits at Readville for Train 5815
PlainsINT-838508-5715,trip_type,wait
PlainsINT-838560-5721,note,Waits at Readville for Train 5821
PlainsINT-838560-5721,trip_type,wait
PlainsINT-838584-5731,note,Waits at Readville for Train 5831
PlainsINT-838584-5731,trip_type,wait
PlainsINT-838586-5739,note,Waits at Readville for Train 5839
PlainsINT-838586-5739,trip_type,wait
PlainsINT-838589-5747,note,Waits at Readville for Train 5847
PlainsINT-838589-5747,trip_type,wait
PlainsINT-838582-5755,note,Waits at Readville for Train 5855
PlainsINT-838582-5755,trip_type,wait
PlainsINT-838580-5767,note,Waits at Readville for Train 5867
PlainsINT-838580-5767,trip_type,wait
PlainsINT-838588-5777,note,Waits at Readville for Train 5877
PlainsINT-838588-5777,trip_type,wait
PlainsINT-838577-5785,note,Waits at Readville for Train 5885
PlainsINT-838577-5785,trip_type,wait
PlainsINT-838557-5793,note,Waits at Readville for Train 5893
PlainsINT-838557-5793,trip_type,wait
PlainsINT-837828-874,note,Waits at Readville for Train 776
PlainsINT-837828-874,trip_type,wait
PlainsINT-837839-908,note,Waits at Readville for Train 1708
PlainsINT-837839-908,trip_type,wait
PlainsINT-837867-984,note,Waits at Readville for Train 784
PlainsINT-837867-984,trip_type,wait
PlainsINT-837835-892,note,Waits at Readville for Train 792
PlainsINT-837835-892,trip_type,wait
PlainsINT-837821-856,note,Waits at Readville for Train 1756
PlainsINT-837821-856,trip_type,wait
PlainsINT-837660-1047,note,Waits at Braintree for Train 2047
PlainsINT-837660-1047,trip_type,wait
PlainsINT-837742-2055,note,Waits at East Taunton for Train 1905
PlainsINT-837742-2055,trip_type,wait
PlainsINT-837743-2059,note,Waits at East Taunton for Train 1909
PlainsINT-837743-2059,trip_type,wait
PlainsINT-837744-2061,note,Waits at East Taunton for Train 1911
PlainsINT-837744-2061,trip_type,wait
PlainsINT-837746-2065,note,Waits at East Taunton for Train 1915
PlainsINT-837746-2065,trip_type,wait
PlainsINT-837747-2067,note,Waits at East Taunton for Train 1917
PlainsINT-837747-2067,trip_type,wait
PlainsINT-837748-2069,note,Waits at East Taunton for Train 1919
PlainsINT-837748-2069,trip_type,wait
PlainsINT-837749-2075,note,Waits at East Taunton for Train 1925
PlainsINT-837749-2075,trip_type,wait
PlainsINT-837751-2089,note,Waits at East Taunton for Train 1939
PlainsINT-837751-2089,trip_type,wait
PlainsINT-837713-1971,note,Waits at East Taunton for Train 2021
PlainsINT-837713-1971,trip_type,wait
PlainsINT-837719-1983,note,Waits at East Taunton for Train 2033
PlainsINT-837719-1983,trip_type,wait
PlainsINT-837721-1987,note,Waits at East Taunton for Train 2037
PlainsINT-837721-1987,trip_type,wait
PlainsINT-837723-1991,note,Waits at East Taunton for Train 2041
PlainsINT-837723-1991,trip_type,wait
PlainsINT-837726-2010,note,Waits at East Taunton for Train 1960
PlainsINT-837726-2010,trip_type,wait
PlainsINT-837727-2016,note,Waits at East Taunton for Train 1966
PlainsINT-837727-2016,trip_type,wait
PlainsINT-837729-2022,note,Waits at East Taunton for Train 1972
PlainsINT-837729-2022,trip_type,wait
PlainsINT-837730-2024,note,Waits at East Taunton for Train 1974
PlainsINT-837730-2024,trip_type,wait
PlainsINT-837731-2026,note,Waits at East Taunton for Train 1976
PlainsINT-837731-2026,trip_type,wait
PlainsINT-837732-2028,note,Waits at East Taunton for Train 1978
PlainsINT-837732-2028,trip_type,wait
PlainsINT-837734-2030,note,Waits at East Taunton for Train 1980
PlainsINT-837734-2030,trip_type,wait
PlainsINT-837736-2034,note,Waits at East Taunton for Train 1984
PlainsINT-837736-2034,trip_type,wait
PlainsINT-837738-2038,note,Waits at East Taunton for Train 1988
PlainsINT-837738-2038,trip_type,wait
PlainsINT-837740-2044,note,Waits at East Taunton for Train 1994
PlainsINT-837740-2044,trip_type,wait
PlainsINT-837701-1912,note,Waits at East Taunton for Train 2062
PlainsINT-837701-1912,trip_type,wait
PlainsINT-837707-1936,note,Waits at East Taunton for Train 2086
PlainsINT-837707-1936,trip_type,wait
PlainsINT-837709-1942,note,Waits at East Taunton for Train 2092
PlainsINT-837709-1942,trip_type,wait
PlainsINT-838049-1775,note,Waits at Readville for Train 875
PlainsINT-838049-1775,trip_type,wait
PlainsINT-838065-1785,note,Waits at Readville for Train 885
PlainsINT-838065-1785,trip_type,wait
PlainsINT-838112-793,note,Waits at Readville for Train 893
PlainsINT-838112-793,trip_type,wait
PlainsINT-837783-565,note,Waits at West Natick for Train 1561
PlainsINT-837783-565,trip_type,wait
PlainsINT-837778-553,note,Waits at West Natick for Train 1551
PlainsINT-837778-553,trip_type,wait
PlainsINT-837781-559,note,Waits at West Natick for Train 1555
PlainsINT-837781-559,trip_type,wait
PlainsINT-837785-571,note,Waits at West Natick for Train 1567
PlainsINT-837785-571,trip_type,wait
PlainsINT-837686-1512,note,Waits at West Natick for Train 510
PlainsINT-837686-1512,trip_type,wait
PlainsINT-837687-1516,note,Waits at West Natick for Train 514
PlainsINT-837687-1516,trip_type,wait
PlainsINT-837689-1522,note,Waits at West Natick for Train 518
PlainsINT-837689-1522,trip_type,wait
PlainsINT-837760-515,note,Waits at Framingham for Train 1511
PlainsINT-837760-515,trip_type,wait
PlainsINT-837762-519,note,Waits at Framingham for Train 1517
PlainsINT-837762-519,trip_type,wait
PlainsINT-837689-1522,note,Waits at Framingham for Train 520
PlainsINT-837689-1522,trip_type,wait
PlainsINT-837692-1558,note,Waits at Framingham for Train 556
PlainsINT-837692-1558,trip_type,wait
PlainsINT-837694-1562,note,Waits at Framingham for Train 560
PlainsINT-837694-1562,trip_type,wait
PlainsINT-838187-5806,note,Waits at Readville for Train 5706
PlainsINT-838187-5806,trip_type,wait
PlainsINT-838205-5892,note,Waits at Readville for Train 5792
PlainsINT-838205-5892,trip_type,wait
PlainsINT-838190-5824,note,Waits at Readville for Train 5724
PlainsINT-838190-5824,trip_type,wait
PlainsINT-838203-5884,note,Waits at Readville for Train 5784
PlainsINT-838203-5884,trip_type,wait
PlainsINT-838200-5868,note,Waits at Readville for Train 5768
PlainsINT-838200-5868,trip_type,wait
PlainsINT-838202-5878,note,Waits at Readville for Train 5778
PlainsINT-838202-5878,trip_type,wait
PlainsINT-838198-5856,note,Waits at Readville for Train 5754
PlainsINT-838198-5856,trip_type,wait
PlainsINT-838191-5830,note,Waits at Readville for Train 5730
PlainsINT-838191-5830,trip_type,wait
PlainsINT-838193-5838,note,Waits at Readville for Train 5738
PlainsINT-838193-5838,trip_type,wait
PlainsINT-838195-5846,note,Waits at Readville for Train 5746
PlainsINT-838195-5846,trip_type,wait
PlainsINT-838223-6047,note,Waits at Braintree for Train 7047
PlainsINT-838223-6047,trip_type,wait
PlainsINT-838235-6979,note,Waits at East Taunton for Train 7029
PlainsINT-838235-6979,trip_type,wait
PlainsINT-838318-5715,note,Waits at Readville for Train 5815
PlainsINT-838318-5715,trip_type,wait
PlainsINT-838370-5721,note,Waits at Readville for Train 5821
PlainsINT-838370-5721,trip_type,wait
PlainsINT-838394-5731,note,Waits at Readville for Train 5831
PlainsINT-838394-5731,trip_type,wait
PlainsINT-838396-5739,note,Waits at Readville for Train 5839
PlainsINT-838396-5739,trip_type,wait
PlainsINT-838399-5747,note,Waits at Readville for Train 5847
PlainsINT-838399-5747,trip_type,wait
PlainsINT-838392-5755,note,Waits at Readville for Train 5855
PlainsINT-838392-5755,trip_type,wait
PlainsINT-838390-5767,note,Waits at Readville for Train 5867
PlainsINT-838390-5767,trip_type,wait
PlainsINT-838398-5777,note,Waits at Readville for Train 5877
PlainsINT-838398-5777,trip_type,wait
PlainsINT-838387-5785,note,Waits at Readville for Train 5885
PlainsINT-838387-5785,trip_type,wait
PlainsINT-838367-5793,note,Waits at Readville for Train 5893
PlainsINT-838367-5793,trip_type,wait
SWKDYWCPeriod-816704-892,note,Waits at Readville for Train 792
SWKDYWCPeriod-816704-892,trip_type,wait
SWKDYWCPeriod-816736-984,note,Waits at Readville for Train 784
SWKDYWCPeriod-816736-984,trip_type,wait
SWKDYWCPeriod-816697-874,note,Waits at Readville for Train 776
SWKDYWCPeriod-816697-874,trip_type,wait
SWKDYWCPeriod-816708-908,note,Waits at Readville for Train 1708
SWKDYWCPeriod-816708-908,trip_type,wait
SWKDYWCPeriod-816690-856,note,Waits at Readville for Train 1756
SWKDYWCPeriod-816690-856,trip_type,wait
SWKDYWCPeriod-816479-1047,note,Waits at Braintree for Train 2047
SWKDYWCPeriod-816479-1047,trip_type,wait
SWKDYWCPeriod-816552-1987,note,Waits at East Taunton for Train 2037
SWKDYWCPeriod-816552-1987,trip_type,wait
SWKDYWCPeriod-831443-1775,note,Waits at Readville for Train 875
SWKDYWCPeriod-831443-1775,trip_type,wait
SWKDYWCPeriod-831439-1785,note,Waits at Readville for Train 885
SWKDYWCPeriod-831439-1785,trip_type,wait
SWKDYWCPeriod-831402-689,note,Waits at Forest Hills for Train 889
SWKDYWCPeriod-831402-689,trip_type,wait
SWKDYWCPeriod-831465-693,note,Waits at Forest Hills for Train 893
SWKDYWCPeriod-831465-693,trip_type,wait
SWKDYWCPeriod-831451-793,note,Waits at Readville for Train 893
SWKDYWCPeriod-831451-793,trip_type,wait
SWKDYWCPeriod-816598-565,note,Waits at West Natick for Train 1561
SWKDYWCPeriod-816598-565,trip_type,wait
SWKDYWCPeriod-816593-553,note,Waits at West Natick for Train 1551
SWKDYWCPeriod-816593-553,trip_type,wait
SWKDYWCPeriod-816596-559,note,Waits at West Natick for Train 1555
SWKDYWCPeriod-816596-559,trip_type,wait
SWKDYWCPeriod-816600-571,note,Waits at West Natick for Train 1567
SWKDYWCPeriod-816600-571,trip_type,wait
SWKDYWCPeriod-816505-1512,note,Waits at West Natick for Train 510
SWKDYWCPeriod-816505-1512,trip_type,wait
SWKDYWCPeriod-816506-1516,note,Waits at West Natick for Train 514
SWKDYWCPeriod-816506-1516,trip_type,wait
SWKDYWCPeriod-816508-1522,note,Waits at West Natick for Train 518
SWKDYWCPeriod-816508-1522,trip_type,wait
SWKDYWCPeriod-816576-515,note,Waits at Framingham for Train 1511
SWKDYWCPeriod-816576-515,trip_type,wait
